id,url,creation_date,updated_date,control_over_dns,domain_indexed,known_hosting,is_archived,control_over_ssl,num_archives,between_archives_similarity,phish_archives_similarity,between_archives_distance,phish_archives_distance,is_on_root,is_subdomain
662a9e3fa9efe18f4d860047,https://mangiawalkingcasola.it/q,2022-04-12T10:52:56,2024-04-28T00:56:41,TRUE,TRUE,FALSE,TRUE,TRUE,2,-2,-2,247,560,FALSE,FALSE
662a9e3fa9efe18f4d860044,https://twint-a.com/redeem/836782/?629642,2024-04-22T20:18:58Z,2024-04-22T20:19:04Z,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,-2,-2,FALSE,FALSE
662a9e3fa9efe18f4d860043,https://dexter.retscloud.com/F8200A2D5DFGV069W9R/,2010-02-20T00:20:23Z,2024-02-20T14:16:24Z,FALSE,TRUE,FALSE,TRUE,TRUE,2,-2,-2,77,20,FALSE,TRUE
662a9e3fa9efe18f4d860035,https://nonnnaa.github.io/B21DCCN692_th,2013-03-08T19:12:48Z,2023-02-09T09:11:27Z,FALSE,TRUE,TRUE,TRUE,FALSE,2,-2,-2,378,200,FALSE,TRUE
662a9aa6a9efe18f4d860030,https://parthasadhukhan199.github.io/facebook_clone,2013-03-08T19:12:48Z,2023-02-09T09:11:27Z,FALSE,TRUE,TRUE,TRUE,FALSE,2,-2,-2,378,174,FALSE,TRUE
662a9aa6a9efe18f4d86002c,https://stunning-nasturtium-98a9c1.netlify.app/id-html/,2018-05-08T22:48:05Z,2024-04-11T16:00:14Z,TRUE,TRUE,TRUE,TRUE,FALSE,2,-2,-2,49,554,FALSE,TRUE
662a970da9efe18f4d860028,https://www.immobiliarecaorle.it/wp-content/,2019-05-16T13:25:04,2024-05-17T00:41:16,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,-2,-2,FALSE,TRUE
662a970ca9efe18f4d86001e,https://secure-scotiabankcanada.net,2024-04-24T21:01:35Z,2024-04-27T12:00:04Z,TRUE,TRUE,FALSE,TRUE,TRUE,1,1,-1,-1,7,TRUE,FALSE
662a9375a9efe18f4d86001c,https://www.cakeresume.com/kenvin-company,2013-06-05T00:31:41Z,2022-10-11T03:15:22Z,TRUE,TRUE,FALSE,TRUE,TRUE,1,1,-1,-1,1227,FALSE,TRUE
662a9375a9efe18f4d86001a,https://docs.google.com/presentation/d/e/2PACX-1vQwyNkdiP1Ne4TQOYgjHJyP-3Xy8e84no6DA4kj37jq8ax-yrLeMj22MGlUiwHZ52v27AEVVucFN7hk/pub?start=false&amp;loop=false&amp;delayms=3000,1997-09-15T04:00:00Z,2019-09-09T15:39:04Z,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,-1,-1,206,FALSE,TRUE
662a9375a9efe18f4d860018,https://facsbook.assxqqa.cn/,2023-09-19T11:01:51,,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,-2,-2,FALSE,TRUE
662a9375a9efe18f4d860017,https://disabledmetapages.me/,2024-04-24T06:17:39Z,2024-04-26T15:30:50Z,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,-2,-2,TRUE,FALSE
662a9375a9efe18f4d860014,https://hewendem.com/help/contact/891778595366531,2024-04-05T09:29:48Z,2024-04-05T09:38:42Z,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,-2,-2,FALSE,FALSE
662a9375a9efe18f4d860013,https://deloy-project19872.pages.dev/help/contact/830898789928042,2020-09-02T02:33:29Z,2023-09-04T18:15:07Z,TRUE,TRUE,TRUE,TRUE,TRUE,2,-2,-2,115,48,FALSE,TRUE
662a9375a9efe18f4d860012,https://docs.google.com/presentation/d/e/2PACX-1vT2xRXIWfG92L6BTihc1gPEi6bqSnE840uKCzRrxZwwFTjFBFJfqgynSrdc3ftwM8LqNpR1sSKsRGy9/pub?start=false&amp;loop=false&amp;delayms=3000,1997-09-15T04:00:00Z,2019-09-09T15:39:04Z,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,-1,-1,206,FALSE,TRUE
662a9124a9efe18f4d860011,https://at-ts-awesome-site-4525af.webflow.io/,2013-05-08T02:20:57Z,2024-02-20T21:07:57Z,FALSE,TRUE,TRUE,TRUE,FALSE,2,-2,-2,77,153,FALSE,TRUE
662a9124a9efe18f4d86000e,https://vryfypost0574654556.github.io/complaint/,2013-03-08T19:12:48Z,2023-02-09T09:11:27Z,FALSE,TRUE,TRUE,TRUE,FALSE,2,-2,-2,378,184,FALSE,TRUE
662a8fe7a9efe18f4d860009,https://yandexv.com/honorcu,2023-11-03T17:08:15Z,2024-04-17T10:20:50Z,TRUE,FALSE,FALSE,TRUE,TRUE,1,1,-1,-1,42,FALSE,FALSE
662a8c5da9efe18f4d85fff9,https://simkacho.com/ariba/,2024-01-29T14:12:09Z,2024-04-26T08:38:37Z,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,-2,-2,FALSE,FALSE
662a8c5da9efe18f4d85fff6,https://kopperhaus.ch/AOC-Gaming-Monitor,,,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,-2,-2,FALSE,FALSE
662a8c5da9efe18f4d85fff4,https://docs.google.com/presentation/d/e/2PACX-1vQ_qn45oMaZzR3_W3YTflUspnvPixfLUeL2z_EHnOOdPpDa2xnX1ijrJRtN9q-arnLjw8U5o4wZ5b2T/pub?start=false&amp;loop=false&amp;delayms=3000,1997-09-15T04:00:00Z,2019-09-09T15:39:04Z,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,-1,-1,205,FALSE,TRUE
662a88c4a9efe18f4d85ffe8,https://docs.google.com/presentation/d/e/2PACX-1vSMS-YEaWJcTUzf6px38g_k7RQNbHeIHezKand5rnWwxe4SJitr-3zHPZp9VGhzKTUZQebU_ql3-g3O/pub?start=false&amp;loop=false&amp;delayms=3000,1997-09-15T04:00:00Z,2019-09-09T15:39:04Z,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,-1,-1,203,FALSE,TRUE
662a852ca9efe18f4d85ffe4,https://docs.google.com/presentation/d/e/2PACX-1vTn90lCZ1y8yRHh3w9sBRW-w7F8xY39QCSUu1BmuV8DJYGM-f80zEmKnzSA03PNaNM_KP1eJDjJzhex/pub?start=false&amp;loop=false&amp;delayms=3000,1997-09-15T04:00:00Z,2019-09-09T15:39:04Z,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,-1,-1,203,FALSE,TRUE
662a82e7a9efe18f4d85ffe0,https://gfghgyj.onepage.me/,2009-03-04T06:11:56Z,2023-11-17T16:55:29Z,FALSE,TRUE,FALSE,TRUE,FALSE,2,-2,-2,802,306,FALSE,TRUE
662a82e7a9efe18f4d85ffdf,https://alowedcaassee.github.io/profil-10009876524/repository-name/shop/,2013-03-08T19:12:48Z,2023-02-09T09:11:27Z,FALSE,TRUE,TRUE,TRUE,FALSE,2,-2,-2,378,151,FALSE,TRUE
662a82e7a9efe18f4d85ffdd,https://docs.google.com/presentation/d/e/2PACX-1vTNtq5V2fee3vB6nso3r2gjhQBSd8IYjznWVDw8NYkcIL6uJGlxBVMkVoN4C-dTw3wX1GAb6lwkrqAg/pub?start=true&amp;loop=true&amp;delayms=3000,1997-09-15T04:00:00Z,2019-09-09T15:39:04Z,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,-1,-1,204,FALSE,TRUE
662a82e7a9efe18f4d85ffd6,https://about-meta.my.id/company/,2013-09-09T16:18:48,2019-09-10T00:05:21,TRUE,TRUE,FALSE,TRUE,TRUE,2,-2,-2,243,361,FALSE,FALSE
662a82e7a9efe18f4d85ffd5,https://docs.google.com/presentation/d/e/2PACX-1vQEX9i_R8w6YLhSRuW6sc1wxCb97-c8tLCSnkDWiTPXlQ5wUqabnlSqswXbDKb4Ex47TcX7kb0coKUV/pub?start=false&amp;loop=false&amp;delayms=3000,1997-09-15T04:00:00Z,2019-09-09T15:39:04Z,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,-1,-1,205,FALSE,TRUE
662a81a3a9efe18f4d85ffd3,https://ebayvicommerce.info/,2024-03-31T14:25:39Z,2024-04-27T10:08:28Z,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,0,-2,-2,TRUE,FALSE
662a81a3a9efe18f4d85ffcf,https://maged.marianatravels.com/,2021-10-15T06:00:49Z,2023-09-29T08:00:58Z,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,-2,-2,FALSE,TRUE
662a81a3a9efe18f4d85ffca,https://review--violation-page-fz.glitch.me/submit.html,2008-07-18T18:39:00Z,2023-08-08T17:49:22Z,FALSE,TRUE,FALSE,TRUE,FALSE,2,-2,-2,42,121,FALSE,TRUE
662a81a3a9efe18f4d85ffc9,https://docs.google.com/presentation/d/e/2PACX-1vRV6QsYrmR2Zn5dVR8a4cMYKPvLZhOu55B42hMWWnkE_Nubaw6W8aPyrJllGfXFHaxsxbeRkW2eT6Lm/pub?start=false&amp;loop=false&amp;delayms=3000,1997-09-15T04:00:00Z,2019-09-09T15:39:04Z,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,-1,-1,203,FALSE,TRUE
662a81a3a9efe18f4d85ffc7,https://uspscii.top/,1997-07-10T04:00:00Z,2023-06-24T07:30:09Z,TRUE,TRUE,FALSE,TRUE,TRUE,2,-2,-2,58,799,FALSE,TRUE
662a81a3a9efe18f4d85ffc2,https://uspsc0.top/,2024-04-24T21:08:22Z,,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,-2,-2,TRUE,FALSE
662a7a62a9efe18f4d85ffbb,https://docs.google.com/presentation/d/e/2PACX-1vQvzuiGtUfW6ScxxFlrqO9LcstJQ6y2H669fhGLOnje5nRQzonCwvQ--gbYk3u4adadnPIcBi0jHdGw/pub?start=false&amp;loop=false&amp;delayms=3000,1997-09-15T04:00:00Z,2019-09-09T15:39:04Z,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,-1,-1,204,FALSE,TRUE
662a76c7a9efe18f4d85ffb9,https://assets-usa.mkt.dynamics.com/97791573-a900-ef11-9f85-00224828202e/digitalassets/standaloneforms/beb26e16-c500-ef11-a1fd-6045bdd3b636,1994-04-12T04:00:00Z,2024-04-09T05:06:53Z,TRUE,TRUE,FALSE,TRUE,TRUE,2,-2,-2,2,51,FALSE,TRUE
662a76c7a9efe18f4d85ffb6,https://yhc.cna.mybluehost.me/swiza/,2016-10-05T23:31:07Z,2023-09-11T06:36:43Z,TRUE,TRUE,FALSE,TRUE,TRUE,2,-2,-2,2435,55,FALSE,TRUE
662a76c7a9efe18f4d85ffb4,https://wordpress-1255867-4509294.cloudwaysapps.com/ch/mail/log/,2012-01-04T12:17:34Z,2022-09-12T18:44:13Z,TRUE,TRUE,FALSE,TRUE,FALSE,2,-2,-2,2209,1497,FALSE,TRUE
662a74baa9efe18f4d85ffae,https://eu2.contabostorage.com/5e5740f9b85d4618b1757f5760319236:neddev/index.html,2022-02-24T10:17:22Z,2024-02-25T08:13:29Z,TRUE,TRUE,FALSE,TRUE,TRUE,2,-2,-2,357,265,FALSE,TRUE
662a74baa9efe18f4d85ffad,https://keepo.io/gufgick/,2020-12-04T13:48:21Z,2022-12-26T17:37:34Z,TRUE,TRUE,FALSE,TRUE,TRUE,2,-2,-2,155,87,FALSE,FALSE
662a74baa9efe18f4d85ffa8,https://docs.google.com/presentation/d/e/2PACX-1vQ_SYK7GzXjlxJ_itUIOSiaNtd9qycu4a3YQ0AJbNrBs1yrnRAq5YgJtVecelgNQ8yCTuOR96VipUCe/pub?start=false&amp;loop=false&amp;delayms=3000,1997-09-15T04:00:00Z,2019-09-09T15:39:04Z,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,-1,-1,204,FALSE,TRUE
662a7340a9efe18f4d85ff9e,https://ostridea.net/NK0029/index1.php,2024-04-23T13:59:51Z,2024-04-23T14:07:51Z,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,-2,-2,FALSE,FALSE
662a7340a9efe18f4d85ff9d,https://at-ts-awesome-site-4525af.webflow.io/,2013-05-08T02:20:57Z,2024-02-20T21:07:57Z,FALSE,TRUE,TRUE,TRUE,FALSE,2,-2,-2,77,153,FALSE,TRUE
662a6fa8a9efe18f4d85ff9c,https://docs.google.com/presentation/d/e/2PACX-1vQEX9i_R8w6YLhSRuW6sc1wxCb97-c8tLCSnkDWiTPXlQ5wUqabnlSqswXbDKb4Ex47TcX7kb0coKUV/pub?start=false&amp;loop=false&amp;delayms=3000,1997-09-15T04:00:00Z,2019-09-09T15:39:04Z,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,-1,-1,206,FALSE,TRUE
662a6c10a9efe18f4d85ff97,https://gjkoyr.github.io/In,2013-03-08T19:12:48Z,2023-02-09T09:11:27Z,FALSE,TRUE,TRUE,TRUE,FALSE,2,-2,-2,378,155,FALSE,TRUE
662a6c10a9efe18f4d85ff93,https://handle-ads-warning-ww254-fd06f7.netlify.app/form-3001208382,2018-05-08T22:48:05Z,2024-04-11T16:00:14Z,TRUE,TRUE,TRUE,TRUE,FALSE,2,-2,-2,49,61,FALSE,TRUE
662a6c10a9efe18f4d85ff92,https://account-resolve-case-bb2504-5c90ec.netlify.app/appeal,2018-05-08T22:48:05Z,2024-04-11T16:00:14Z,TRUE,TRUE,TRUE,TRUE,FALSE,2,-2,-2,49,61,FALSE,TRUE
662a6c10a9efe18f4d85ff90,https://dydnamic-croisdant-df0c4d.netlify.app/support_case_id,2018-05-08T22:48:05Z,2024-04-11T16:00:14Z,TRUE,TRUE,TRUE,TRUE,FALSE,2,-2,-2,49,595,FALSE,TRUE
662a6856a9efe18f4d85ff81,https://sdgjhkjhg.onepage.me/,2009-03-04T06:11:56Z,2023-11-17T16:55:29Z,FALSE,TRUE,FALSE,TRUE,FALSE,2,-2,-2,802,305,FALSE,TRUE
662a6856a9efe18f4d85ff7f,https://gfghgyj.onepage.me/,2009-03-04T06:11:56Z,2023-11-17T16:55:29Z,FALSE,TRUE,FALSE,TRUE,FALSE,2,-2,-2,802,306,FALSE,TRUE
662a6856a9efe18f4d85ff7d,https://docs.google.com/presentation/d/e/2PACX-1vTNtq5V2fee3vB6nso3r2gjhQBSd8IYjznWVDw8NYkcIL6uJGlxBVMkVoN4C-dTw3wX1GAb6lwkrqAg/pub?start=true&amp;loop=true&amp;delayms=3000,1997-09-15T04:00:00Z,2019-09-09T15:39:04Z,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,-1,-1,204,FALSE,TRUE
662a64d2a9efe18f4d85ff6c,https://0sqd4.app.link/e/FDlDb80N3Ib,2012-05-08T23:35:02Z,2023-05-09T12:27:01Z,FALSE,TRUE,FALSE,TRUE,FALSE,2,-2,-2,430,254,FALSE,TRUE
662a6135a9efe18f4d85ff66,https://my-fiankbg.com/my/,2024-04-18T04:23:47Z,2024-04-18T04:33:45Z,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,-2,-2,FALSE,FALSE
662a6135a9efe18f4d85ff61,https://cloudflare-ipfs.com/ipfs/bafybeihzgknwagfwotqkkf5xbbqowxxikqnnecczyiguhq2xgtgtlricym#example@example.com,2018-05-30T14:15:34Z,2023-05-03T15:48:48Z,TRUE,TRUE,FALSE,TRUE,TRUE,2,-2,-2,4432,434,FALSE,FALSE
662a5d97a9efe18f4d85ff59,https://checscrity-rvrfy-app.duckdns.org/,2013-04-12T19:58:56Z,2023-06-02T14:09:44Z,TRUE,TRUE,TRUE,TRUE,TRUE,2,-2,-2,660,27,FALSE,TRUE
662a5d97a9efe18f4d85ff56,https://mysftyaccnt-prtcted-app.duckdns.org/repeat.html?section_id=1-HowToContactMeta,2013-04-12T19:58:56Z,2023-06-02T14:09:44Z,TRUE,TRUE,TRUE,TRUE,TRUE,2,-2,-2,660,44,FALSE,TRUE
662a5d97a9efe18f4d85ff52,https://submit-for-page-violation-info.glitch.me/next.html,2008-07-18T18:39:00Z,2023-08-08T17:49:22Z,FALSE,TRUE,FALSE,TRUE,FALSE,2,-2,-2,42,57,FALSE,TRUE
662a5d97a9efe18f4d85ff51,https://submit-for-page-violation-info.glitch.me/,2008-07-18T18:39:00Z,2023-08-08T17:49:22Z,FALSE,TRUE,FALSE,TRUE,FALSE,2,-2,-2,42,14,FALSE,TRUE
662a5d97a9efe18f4d85ff4f,https://dulcet-conkies-5a2986.netlify.app/id-html/,2018-05-08T22:48:05Z,2024-04-11T16:00:14Z,TRUE,TRUE,TRUE,TRUE,FALSE,2,-2,-2,49,554,FALSE,TRUE
662a5d97a9efe18f4d85ff44,https://keepo.io/gufgick/,2020-12-04T13:48:21Z,2022-12-26T17:37:34Z,TRUE,TRUE,FALSE,TRUE,TRUE,2,-2,-2,155,87,FALSE,FALSE
662a5863a9efe18f4d85ff2c,https://cloudflare-ipfs.com/ipfs/bafkreihviq6bvufgdww2es7rfh4wnhnst4axze7dhrhgt4soj6wtgd3taq,2018-05-30T14:15:34Z,2023-05-03T15:48:48Z,TRUE,TRUE,FALSE,TRUE,TRUE,2,-2,-2,4432,486,FALSE,FALSE
662a5671a9efe18f4d85ff21,https://handle-ads-warning-ww254-990542.netlify.app/form-3001208382,2018-05-08T22:48:05Z,2024-04-11T16:00:14Z,TRUE,TRUE,TRUE,TRUE,FALSE,2,-2,-2,49,61,FALSE,TRUE
662a5671a9efe18f4d85ff1e,https://handle-ads-warning-ww254-021139.netlify.app/form-3001208382,2018-05-08T22:48:05Z,2024-04-11T16:00:14Z,TRUE,TRUE,TRUE,TRUE,FALSE,2,-2,-2,49,61,FALSE,TRUE
662a52d6a9efe18f4d85ff0e,https://docs.google.com/presentation/d/e/2PACX-1vRKfd6eGr8_HDFH6lKwW7x9BybbPCc3z4WXBPGLZ-SnVpfjNx36itAho6nP4ItlmkVs7dVXqLPWxYzM/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,1997-09-15T04:00:00Z,2019-09-09T15:39:04Z,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,-1,-1,203,FALSE,TRUE
662a4f3ba9efe18f4d85fefb,https://meta-approved-violation-here.glitch.me/next.html,2008-07-18T18:39:00Z,2023-08-08T17:49:22Z,FALSE,TRUE,FALSE,TRUE,FALSE,2,-2,-2,42,60,FALSE,TRUE
662a4b9fa9efe18f4d85feef,https://henessg.univer.se/,,,TRUE,TRUE,FALSE,TRUE,FALSE,2,-2,-2,77,47,FALSE,TRUE
662a4a3ea9efe18f4d85fee4,https://www.dropbox.com/scl/fi/nwad9wmqwkqyw1aye96s7/Securely-sign-in-with-your-email-address-to-keep-you-updated..paper?dl=0&rlkey=tep45m4mbqlties53mwzcvyll,1995-06-28T04:00:00Z,2023-05-26T09:22:02Z,TRUE,TRUE,FALSE,TRUE,FALSE,2,-2,-2,156,56,FALSE,TRUE
662a4a3ea9efe18f4d85fede,https://www.dropbox.com/scl/fi/nhxrb6jo73q7yzcp4r23k/Securely-sign-in-with-your-email-address-to-keep-you-updated..paper?rlkey=me99ubv8doezx00x5qxdcjezy&dl=0,1995-06-28T04:00:00Z,2023-05-26T09:22:02Z,TRUE,TRUE,FALSE,TRUE,FALSE,2,-2,-2,156,157,FALSE,TRUE
662a4a3ea9efe18f4d85fedd,https://www.dropbox.com/c/scl/fi/nhxrb6jo73q7yzcp4r23k/Securely-sign-in-with-your-email-address-to-keep-you-updated..paper?rlkey=me99ubv8doezx00x5qxdcjezy&dl=0,1995-06-28T04:00:00Z,2023-05-26T09:22:02Z,TRUE,TRUE,FALSE,TRUE,FALSE,2,-2,-2,156,158,FALSE,TRUE
662a4a3ea9efe18f4d85fed6,https://ovhcloud.fr-manager-domain.com/index.html,2024-04-14T16:23:54Z,2024-04-14T16:23:55Z,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,-2,-2,FALSE,TRUE
662a480ca9efe18f4d85fed2,https://breno-oliveira98.github.io/instagram/,2013-03-08T19:12:48Z,2023-02-09T09:11:27Z,FALSE,TRUE,TRUE,TRUE,FALSE,2,-2,-2,378,166,FALSE,TRUE
662a480ca9efe18f4d85fecf,https://handle-ads-warning-ww254-72e67d.netlify.app/form-3001208382,2018-05-08T22:48:05Z,2024-04-11T16:00:14Z,TRUE,TRUE,TRUE,TRUE,FALSE,2,-2,-2,49,61,FALSE,TRUE
662a480ca9efe18f4d85feca,https://msngrcall428.blogspot.com/,1997-09-15T04:00:00Z,2019-09-09T15:39:04Z,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,-1,-1,82,FALSE,TRUE
662a4657a9efe18f4d85feb0,https://bshwhbaa.blogspot.com/,2000-07-31t21:38:58z,2023-06-29t10:00:58z,TRUE,TRUE,FALSE,TRUE,FALSE,2,-2,-2,1995,141,FALSE,TRUE
662a4655a9efe18f4d85feae,https://cloudflare-ipfs.com/ipfs/bafkreiduj6dpeukqw6ukuok6vicxddaqrnsp3cl4bchzb67asn7k6di3ma,2018-05-30T14:15:34Z,2023-05-03T15:48:48Z,TRUE,TRUE,FALSE,TRUE,TRUE,2,-2,-2,4432,478,FALSE,FALSE
662a464da9efe18f4d85fea1,https://demo-ebay.advoncommerce.com/,2019-07-09T16:13:37Z,2023-07-10T17:46:53Z,TRUE,TRUE,FALSE,TRUE,TRUE,2,-2,-2,376,2693,FALSE,TRUE
662a4646a9efe18f4d85fe95,https://appl-care-mx.click/inchokoesp.php/,2024-04-24T04:07:22.550Z,2024-04-27T16:45:54.550Z,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,-2,-2,FALSE,FALSE
662a4645a9efe18f4d85fe94,https://findmapslocated.us/inchokoesp.php/,2024-04-24T13:52:17Z,2024-04-24T18:47:43Z,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,-2,-2,FALSE,FALSE
662a4645a9efe18f4d85fe93,https://mapps-location.click/inchokoesp.php/,2024-04-24T09:47:23.421Z,2024-04-27T17:00:52.010Z,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,-2,-2,FALSE,FALSE
662a4645a9efe18f4d85fe92,https://soporte-gps-ubicacion.com/inchokoesp.php/,2024-04-25T01:49:06Z,2024-04-25T01:50:55Z,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,-2,-2,FALSE,FALSE
662a4644a9efe18f4d85fe91,https://appencontrar-applemaps.com/inchokoesp.php/,expired,,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,-2,-2,FALSE,FALSE
662a4644a9efe18f4d85fe90,https://lcloud-ipho.com/inchokoesp.php/,2024-04-25T01:25:53Z,2024-04-26T00:45:02Z,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,-2,-2,FALSE,FALSE
662a4644a9efe18f4d85fe8f,https://mapslocalizaciondevice.cfd/inchokoesp.php/,2024-04-24T21:10:52.0Z,2024-04-24T21:27:37.0Z,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,-2,-2,FALSE,FALSE
662a4643a9efe18f4d85fe8d,https://adminuser.tlegram.xyz/,2024-04-16T12:02:24.0Z,2024-04-25T14:20:03.0Z,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,-1,-1,87,FALSE,TRUE
662a463ca9efe18f4d85fe7d,https://macledigitale.com/,2024-04-22T12:30:57Z,2024-04-25T15:47:44Z,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,-2,-2,TRUE,FALSE
662a4632a9efe18f4d85fe6e,https://fdbdfbdf52.blogspot.com/,2000-07-31t21:38:58z,2023-06-29t10:00:58z,TRUE,TRUE,FALSE,TRUE,FALSE,2,-2,-2,1995,141,FALSE,TRUE
662a462aa9efe18f4d85fe63,https://cloudflare-ipfs.com/ipfs/bafybeih72cossm5qgsy2o5m2jf3xgpcovig3k4ovuribsxsuv3iqi73nsq/pdf.html,2018-05-30T14:15:34Z,2023-05-03T15:48:48Z,TRUE,TRUE,FALSE,TRUE,TRUE,2,-2,-2,4432,462,FALSE,FALSE
662a4629a9efe18f4d85fe5f,https://fdfgdfgdfgfg.blogspot.com/,2000-07-31t21:38:58z,2023-06-29t10:00:58z,TRUE,TRUE,FALSE,TRUE,FALSE,2,-2,-2,1995,141,FALSE,TRUE
662a4628a9efe18f4d85fe5b,https://waurl.ru/5165,2021-11-26T14:30:18,,TRUE,TRUE,FALSE,TRUE,TRUE,2,-2,-2,813,486,FALSE,FALSE
662a4625a9efe18f4d85fe57,https://cursos.salonhogar.net/mnet/xmlrpc/clie/it/conto/index.php?&sessionid=763ab5a7b845f7b981a73025ca14c6c4&securessl=true/,2005-12-05T20:40:49Z,2023-11-03T14:44:58Z,TRUE,TRUE,FALSE,TRUE,TRUE,2,-2,-2,53,1227,FALSE,TRUE
662a4623a9efe18f4d85fe52,https://waurl.ru/jung,2021-11-26T14:30:18,,TRUE,TRUE,FALSE,TRUE,TRUE,2,-2,-2,813,486,FALSE,FALSE
